,p_grid,simulated_readings,t_grid,correction_factor
307,987.5,0.123078088,287,0.995617859
308,987.5,0.12394007,289,1.00259071
309,987.5,0.124787322,291,1.009444398
310,987.5,0.125619848,293,1.016178972
311,987.5,0.1264377,295,1.022794837
312,987.5,0.127240939,297,1.029292488
313,987.5,0.128029534,299,1.035671684
314,987.5,0.128803479,301,1.041932377
315,987.5,0.129562918,303,1.048075718
316,987.5,0.130307803,305,1.054101327
317,987.5,0.131038193,307,1.060009686
318,987.5,0.131754173,309,1.065801475
319,987.5,0.132455763,311,1.071476865
320,990,0.116242509,273,0.940322684
321,990,0.117205779,275,0.94811488
322,990,0.118154453,277,0.955789013
323,990,0.119088532,279,0.963345072
324,990,0.120007975,281,0.970782743
325,990,0.120912798,283,0.978102144
326,990,0.12180294,285,0.985302787
327,990,0.122678371,287,0.992384425
328,990,0.123539216,289,0.999348076
329,990,0.124385338,291,1.006192622
330,990,0.125216854,293,1.012919024
331,990,0.126033726,295,1.019526956
332,990,0.126836035,297,1.026017089
333,990,0.127623777,299,1.032389387
334,990,0.128396877,301,1.038643237
335,990,0.129155536,303,1.044780278
336,990,0.129899709,305,1.050800127
337,990,0.130629406,307,1.056702882
338,990,0.1313448,309,1.062489929
339,990,0.132045755,311,1.068160176
340,992.5,0.115853925,273,0.937179303
341,992.5,0.116815651,275,0.944959018
342,992.5,0.117762848,277,0.952621194
343,992.5,0.118695491,279,0.960165639
344,992.5,0.11961357,281,0.967592272
345,992.5,0.12051705,283,0.974900808
346,992.5,0.121405939,285,0.982091318
347,992.5,0.122280182,287,0.989163349
348,992.5,0.123139847,289,0.99611745
349,992.5,0.123984873,291,1.002953136
350,992.5,0.124815381,293,1.009671378
351,992.5,0.125631277,295,1.016271422
352,992.5,0.126432613,297,1.022753681
353,992.5,0.127219424,299,1.029118445
354,992.5,0.127991753,301,1.035366065
355,992.5,0.128749653,303,1.041496955
356,992.5,0.129493062,305,1.047510627
357,992.5,0.1302221,307,1.053408051
358,992.5,0.130936817,309,1.059189628
359,992.5,0.131637201,311,1.064855256
360,995,0.115466839,273,0.934048041
361,995,0.116426985,275,0.941814974
362,995,0.117372721,277,0.94946533
363,995,0.118303946,279,0.956998307
364,995,0.11922061,281,0.964413491
365,995,0.120122802,283,0.971711614
366,995,0.121010411,285,0.978891764
367,995,0.121883467,287,0.985954196
368,995,0.122741955,289,0.992898773
369,995,0.123585898,291,0.999725696
370,995,0.124415371,293,1.006435568
371,995,0.12523028,295,1.013027631
372,995,0.126030709,297,1.019502551
373,995,0.126816648,299,1.025860264
374,995,0.127588117,301,1.032100921
375,995,0.128345178,303,1.038225029
376,995,0.129087877,305,1.044232956
377,995,0.129816248,307,1.050124982
378,995,0.130530369,309,1.055901741
379,995,0.131230117,311,1.06156222
380,997.5,0.115081254,273,0.930928923
381,997.5,0.116039864,275,0.938683424
382,997.5,0.116984112,277,0.946321746
383,997.5,0.117913887,279,0.953842993
384,997.5,0.118829209,281,0.961247326
385,997.5,0.119730042,283,0.96853445
386,997.5,0.120616394,285,0.975704435
387,997.5,0.121488226,287,0.982756962
388,997.5,0.122345587,289,0.989692425
389,997.5,0.123188457,291,0.99651067
390,997.5,0.12401685,293,1.003211809
391,997.5,0.124830782,295,1.009795961
392,997.5,0.125630234,297,1.016262983
393,997.5,0.126415288,299,1.022613537
394,997.5,0.127185922,301,1.028847441
395,997.5,0.127942212,303,1.034965311
396,997.5,0.128684205,305,1.040967526
397,997.5,0.129411875,307,1.046853879
398,997.5,0.13012531,309,1.052625084
399,997.5,0.130824507,311,1.058281113
400,1000,0.114697156,273,0.927821829
401,1000,0.115654243,275,0.935564011
402,1000,0.116596963,277,0.943189975
403,1000,0.117525338,279,0.950699902
404,1000,0.118439265,281,0.958092948
405,1000,0.119338762,283,0.965369266
406,1000,0.120223857,285,0.972529075
407,1000,0.121094468,287,0.979571732
408,1000,0.121950688,289,0.986497962
409,1000,0.122792459,291,0.993307322
410,1000,0.123619807,293,1
411,1000,0.124432748,295,1.006576135
412,1000,0.125231255,297,1.013035514
413,1000,0.126015396,299,1.01937868
414,1000,0.126785207,301,1.025605929
415,1000,0.127540705,303,1.031717394
416,1000,0.128281939,305,1.037713473
417,1000,0.12900892,307,1.043594249
418,1000,0.129721734,309,1.049360435
419,1000,0.130420302,311,1.055011367
420,1002.5,0.114314567,273,0.92472695
421,1002.5,0.115270106,275,0.932456605
422,1002.5,0.116211322,277,0.940070408
423,1002.5,0.11713824,279,0.947568537
424,1002.5,0.118050781,281,0.954950375
425,1002.5,0.118948972,283,0.962216125
426,1002.5,0.119832756,285,0.969365341
427,1002.5,0.120702248,287,0.976398934
428,1002.5,0.121557293,289,0.983315663
429,1002.5,0.122397937,291,0.990115903
430,1002.5,0.123224234,293,0.996800084
431,1002.5,0.124036166,295,1.003368064
432,1002.5,0.124833704,297,1.009819601
433,1002.5,0.125616952,299,1.01615554
434,1002.5,0.126385934,301,1.022376081
435,1002.5,0.127140644,303,1.028481171
436,1002.5,0.127881144,305,1.03447131
437,1002.5,0.128607422,307,1.040346407
438,1002.5,0.129319559,309,1.046107107
439,1002.5,0.130017545,311,1.05175334
440,1005,0.113933441,273,0.9216439
441,1005,0.114887431,275,0.92936103
442,1005,0.115827169,277,0.936962868
443,1005,0.11675262,279,0.944449133
444,1005,0.117663805,281,0.951820004
445,1005,0.118560651,283,0.959074877
446,1005,0.1194432,285,0.966214094
447,1005,0.120311432,287,0.973237504
448,1005,0.121165327,289,0.98014493
449,1005,0.122004842,291,0.986936033
450,1005,0.122830083,293,0.993611671
451,1005,0.123641035,295,1.000171721
452,1005,0.124437651,297,1.006615798
453,1005,0.125220001,299,1.01294448
454,1005,0.125988133,301,1.019158145
455,1005,0.126742036,303,1.025256706
456,1005,0.127481769,305,1.031240637
457,1005,0.12820737,307,1.037110259
458,1005,0.128918842,309,1.042865583
459,1005,0.129616219,311,1.048506888
460,1007.5,0.113553806,273,0.918572909
461,1007.5,0.11450626,275,0.926277614
462,1007.5,0.115444455,277,0.93386697
463,1007.5,0.116368507,279,0.941341923
464,1007.5,0.117278252,281,0.948701144
465,1007.5,0.118173807,283,0.955945571
466,1007.5,0.119055099,285,0.963074624
467,1007.5,0.11992211,287,0.970088154
468,1007.5,0.12077483,289,0.976986074
469,1007.5,0.12161326,291,0.983768404
470,1007.5,0.122437436,293,0.99043542
471,1007.5,0.123247357,295,0.996987135
472,1007.5,0.124043034,297,1.003423621
473,1007.5,0.124824488,299,1.009745048
474,1007.5,0.125591758,301,1.015951741
475,1007.5,0.12634485,303,1.02204374
476,1007.5,0.127083843,305,1.028021694
477,1007.5,0.12780874,307,1.033885612
478,1007.5,0.128519542,309,1.039635515
479,1007.5,0.129216319,311,1.045271967
480,1010,0.113175643,273,0.91551383
481,1010,0.114126494,275,0.923205566
482,1010,0.115063225,277,0.93078308
483,1010,0.115985826,279,0.938246297
484,1010,0.116894229,281,0.945594661
485,1010,0.117788423,283,0.952828081
486,1010,0.118668442,285,0.959946829
487,1010,0.11953424,287,0.966950548
488,1010,0.120385791,289,0.973839013
489,1010,0.121223129,291,0.980612506
490,1010,0.122046215,293,0.987270714
491,1010,0.122855131,295,0.993814291
492,1010,0.123649868,297,1.000243173
493,1010,0.124430431,299,1.006557395
494,1010,0.125196827,301,1.012757014
495,1010,0.125949124,303,1.018842584
496,1010,0.126687369,305,1.02481449
497,1010,0.127411544,307,1.030672571
498,1010,0.128121678,309,1.03641707
499,1010,0.128817846,311,1.042048597
500,1012.5,0.112798972,273,0.912466816
501,1012.5,0.113748237,275,0.920145727
502,1012.5,0.114683461,277,0.927711052
503,1012.5,0.115604602,279,0.935162452
504,1012.5,0.116511626,281,0.942499655
505,1012.5,0.117404533,283,0.949722666
506,1012.5,0.118283268,285,0.956831033
507,1012.5,0.119147817,287,0.963824645
508,1012.5,0.119998176,289,0.970703474
509,1012.5,0.120834416,291,0.977468082
510,1012.5,0.121656437,293,0.984117674
511,1012.5,0.122464364,295,0.990653251
512,1012.5,0.123258123,297,0.997074221
513,1012.5,0.124037772,299,1.003381055
514,1012.5,0.124803347,301,1.009574033
515,1012.5,0.125554827,303,1.01565299
516,1012.5,0.126292284,305,1.021618518
517,1012.5,0.127015728,307,1.027470688
518,1012.5,0.127725225,309,1.033210033
519,1012.5,0.128420797,311,1.03883674
520,1015,0.112423712,273,0.909431223
521,1015,0.113371441,275,0.9170977
522,1015,0.114305122,277,0.924650546
523,1015,0.115224843,279,0.932090462
524,1015,0.116130499,281,0.939416604
525,1015,0.117022053,283,0.946628669
526,1015,0.117899505,285,0.953726653
527,1015,0.118762807,287,0.96071018
528,1015,0.119612045,289,0.967579933
529,1015,0.120447138,291,0.974335271
530,1015,0.121268149,293,0.980976689
531,1015,0.122075058,295,0.987504036
532,1015,0.122867872,297,0.993917358
533,1015,0.12364659,299,1.000216659
534,1015,0.124411247,301,1.006402212
535,1015,0.125161917,303,1.012474621
536,1015,0.125898652,305,1.018434306
537,1015,0.126621361,307,1.024280524
538,1015,0.127330217,309,1.030014692
539,1015,0.128025145,311,1.035636184
540,1017.5,0.112049911,273,0.906407424
541,1017.5,0.112996061,275,0.914061134
542,1017.5,0.11392828,277,0.921602153
543,1017.5,0.114846536,279,0.929030212
544,1017.5,0.115750809,281,0.936345168
545,1017.5,0.11664105,283,0.943546611
546,1017.5,0.11751719,285,0.950633984
547,1017.5,0.118379292,287,0.957607806
548,1017.5,0.119227333,289,0.96446788
549,1017.5,0.120061326,291,0.97121431
550,1017.5,0.120881253,293,0.977846965
551,1017.5,0.121687122,295,0.984365892
552,1017.5,0.122478967,297,0.99077138
553,1017.5,0.123256803,299,0.997063545
554,1017.5,0.124020637,301,1.003242438
555,1017.5,0.12477045,303,1.009307916
556,1017.5,0.12550642,305,1.015261414
557,1017.5,0.126228397,307,1.021101715
558,1017.5,0.126936592,309,1.026830531
559,1017.5,0.127630889,311,1.03244692
560,1020,0.111677566,273,0.903395409
561,1020,0.112622139,275,0.911036359
562,1020,0.113552876,277,0.918565387
563,1020,0.114469685,279,0.925981744
564,1020,0.11537256,281,0.933285395
565,1020,0.116261437,283,0.940475802
566,1020,0.117136319,285,0.947553003
567,1020,0.117997206,287,0.954516989
